Date,Price,Open,High,Low,Vol.,Change %,SMA_10,EMA_10,RSI_14,MACD,MACD_Signal,MACD_Diff
2025-06-19,2.9431886910108975,2.99052267796613,2.8494988280602875,3.127673852806599,-0.5257215816838259,-1.06,2.9427161529776127,2.953455380815872,48.2471412937639,0.9880741129831457,0.9481800550027571,0.3170630963718882
2025-06-18,2.9842050848763177,2.970336322323866,2.8450528723581514,3.0795254587508603,-0.44666733716064927,0.53,2.963252692349951,2.960950382286206,48.2471412937639,0.9880741129831457,0.9481800550027571,0.3170630963718882
2025-06-17,2.963875220090848,3.1089612070884405,2.9751825757937675,3.1248636352547075,-0.2746074711777863,-3.4,2.96331221855103,2.9633677424442264,48.2471412937639,0.9880741129831457,0.9481800550027571,0.3170630963718882
2025-06-16,3.0992293198467373,2.981947942826053,3.111810214486353,3.140975549218884,-0.18585024147076315,3.2,2.9972272716159285,2.9900790874256185,48.2471412937639,0.9880741129831457,0.9481800550027571,0.3170630963718882
2025-06-15,2.9756451418087515,2.9355014608173042,2.8365029575463496,3.115870939088655,-0.619431710318577,1.21,2.9928253090461188,2.9893510589288295,48.2471412937639,0.9880741129831457,0.9481800550027571,0.3170630963718882
2025-06-14,2.9292787835261023,2.950149966681602,2.8416329064334307,3.0650996753178186,-0.5508063068565865,-0.38,2.9821522611926103,2.9802827888918704,48.2471412937639,0.9880741129831457,0.9481800550027571,0.3170630963718882
2025-06-13,2.9439020195998613,3.0273225829422925,2.8635206883516418,3.0160145420781164,-0.20036735901755232,-1.97,2.976620576363746,2.9755354261842557,48.2471412937639,0.9880741129831457,0.9481800550027571,0.3170630963718882
2025-06-12,3.0209415072079553,3.1696989143306515,3.0035682929689482,3.17807042090385,-0.4463150835731169,-3.51,2.9821150573169355,2.9857287883116337,48.2471412937639,0.9880741129831457,0.9481800550027571,0.3170630963718882
2025-06-11,3.163072228559001,3.2349026294583183,3.1143751889298934,3.3331944297682514,-0.44434032861270806,-1.59,3.0022026699228017,3.0200406213132496,48.2471412937639,0.9880741129831457,0.9481800550027571,0.3170630963718882
2025-06-10,3.228341794449192,3.259912273616876,3.0940263916778066,3.3485569523852576,-0.442141412278415,-0.59,3.0248087368859955,3.060040767650368,48.2471412937639,0.9880741129831457,0.9481800550027571,0.3170630963718882
2025-06-09,3.252773298621204,3.1630892226601754,3.0986433456761793,3.274929252525704,-0.3910753164373569,2.37,3.0558099824080642,3.097232574027297,48.2471412937639,0.9880741129831457,0.9481800550027571,0.3170630963718882
2025-06-08,3.156830603405567,3.0024915790991535,3.0415299147333466,3.1696397682481754,-0.43734862861774715,4.14,3.073096391201477,3.1101304477422396,48.2471412937639,0.9880741129831457,0.9481800550027571,0.3170630963718882
2025-06-07,2.9961533387414616,2.9740877689476495,2.8630076934629343,3.134418374931138,-0.6314723784015022,0.79,3.0763286639200795,3.091322399923051,48.2471412937639,0.9880741129831457,0.9481800550027571,0.3170630963718882
2025-06-06,2.965658541563258,2.8542201173019928,2.861810705389282,3.0130169766894324,-0.4758937105746997,3.15,3.062953126537574,3.0703616265035176,45.885760049295435,0.9880741129831457,0.9481800550027571,0.3170630963718882
2025-06-05,2.8481376565314656,3.0457225354303743,2.9237120886267234,2.972549843942197,-0.32612188976661294,-4.87,3.0501847564060762,3.0317370942359743,38.559758089902004,0.9880741129831457,0.9481800550027571,0.3170630963718882
